Statistic,PCE,PCEDG,PCES,PCEF,GDP_Growth,CCI
count,48,48,48,48,48,48
mean,19437.635416666668,2169.066666666667,13216.033333333333,1464.5625,2.29375,102.44166666666668
std,1261.1796231744554,77.06210353616386,1045.9886475388448,52.965185775708534,1.6851549900307483,6.775639510787291
min,17106,2024.1,11299.1,1352,-1,86
25%,18480.975,2119.8,12390.55,1427.575,0.775,98.225
50%,19374.9,2148.45,13262.900000000001,1454.1,2.8499999999999996,102.75
75%,20515.675,2246.625,14084.675,1514.925,3.45,107.125
max,21511.8,2300.2,14959.5,1549.1,4.7,117
