,PCE,PCEDG,PCES,PCEF,GDP_Growth,CCI
PCE,1.0,0.9153907009013443,0.9990071404906276,0.9893808729564094,0.19400649722867322,-0.5769137044925225
PCEDG,0.9153907009013443,1.0,0.9006370351128208,0.9036348046351602,0.0660048092190994,-0.5180611368264811
PCES,0.9990071404906276,0.9006370351128208,1.0,0.9869397613941049,0.2036735233414918,-0.5731705256160515
PCEF,0.9893808729564094,0.9036348046351602,0.9869397613941049,1.0,0.22433060549343947,-0.5956089632946324
GDP_Growth,0.19400649722867322,0.0660048092190994,0.2036735233414918,0.22433060549343947,1.0,-0.1342737722020023
CCI,-0.5769137044925225,-0.5180611368264811,-0.5731705256160515,-0.5956089632946324,-0.1342737722020023,1.0
