Model_Type,PCE_RMSE,PCEDG_RMSE,PCES_RMSE,PCEF_RMSE,PCE_R-Squared,PCEDG_R-Squared,PCES_R-Squared,PCEF_R-Squared,PCE_MAE,PCEDG_MAE,PCES_MAE,PCEF_MAE
Linear,1139.098362,63.865648,970.4630987,45.52267803,0.064559047,0.242670697,0.043761856,0.034874739,998.8148227,50.60660699,853.5724131,39.3631393
Second Degree Polynomial,1236.393772,74.09975684,1040.309085,48.98698553,-0.102065842,-0.019491668,-0.098835782,-0.117608015,1072.25026,57.48618359,912.2113609,41.84680189
Third Degree Polynomial,1313.953733,92.12462039,1079.43143,53.82346889,-0.244669567,-0.575801602,-0.183036461,-0.349184818,985.7527034,72.59474566,823.7975741,38.59538681
